Plant Code,Plant Name,State,County,solar_mw,Latitude,Longitude,landfalls_100km
64841,"SR DeSoto I, LLC",GA,Lee,165.0,31.886486,-84.021586,0
67580,Markum Solar Farm,TX,Bosque,161.0,31.694792,-97.374883,0
59994,RE Roserock,TX,Pecos,160.0,30.960209,-103.306662,0
66137,Zier Solar,TX,Kinney,160.0,29.350992,-100.562028,0
66324,BPL Files Solar,TX,Hill,157.5,32.18398,-97.07141,0
67420,Cavalier Solar,VA,Isle of Wight,155.6,37.018,-76.7358,0
60044,Buckthorn Westex,TX,Pecos,154.0,30.57552,-102.551292,0
60581,Upton County Solar,TX,Upton,150.0,31.241808,-102.29027,0
62933,Oberon IA,TX,Ector,150.0,31.703258,-102.701206,0
63519,Crane Solar Project,TX,Crane,150.0,31.254361,-102.31165,0
65291,Golden Triangle II,MS,Lowndes,150.0,33.4155,-88.6223,0
65322,Fort Powhatan Solar,VA,Prince George,150.0,37.26,-77.08,0
66954,Umbriel Solar,TX,Polk,150.0,30.668754,-94.783466,0
66990,Washington County Solar,GA,Washington,150.0,32.989939,-82.71381,0
67019,"Copperhead Solar, LLC",TX,McLennan,150.0,31.45,-96.86,0
59897,Taylor County Solar,GA,Taylor,148.0,32.583056,-84.297222,0
63892,Lily Solar Hybrid,TX,Kaufman,146.7,32.533273,-96.428985,0
57659,East Blackland Solar Project 1,TX,Travis,144.0,30.4214,-97.4614,0
66111,Elizabeth Solar Plant,LA,Allen,142.8,30.81981,-92.971755,0
61985,Colonial Trail West,VA,Surry,142.4,37.138889,-76.902222,0
65975,Starr Solar Ranch,TX,Starr,136.0,26.523359,-99.017108,0
65976,Prairie Ronde Solar Farm,LA,St Landry,135.0,30.61,-92.17,0
63764,Elm Branch Solar 1,TX,Ellis,134.7,32.23256,-96.706121,0
64204,Elara Solar,TX,Frio,132.4,28.883196,-99.178605,0
66133,"Bartonsville Energy Facility, LLC",VA,Frederick,130.0,39.088731,-78.239904,0
61648,Robins Air Force Base Solar,GA,Bibb,128.0,32.681222,-83.616387,0
63769,Briar Creek Solar 1,TX,Navarro,127.0,32.067483,-96.585136,0
66314,Bookers Mill Solar,VA,Richmond,127.0,37.86,-76.56,0
